title,content
社会实践丨旅游地学与规划工程专业在井陉县开展地质旅游研学实践活动,近日，我校旅游地学与规划工程专业师生在井陉县红土岭山陉居民宿开展地质旅游研学实践活动，旨在将地质探索与旅游体验深度融合，推动专业学习与实践应用紧密结合。活动期间，师生在康旅集团工作人员的带领下，参观了红土岭山陉居民宿运营情况。民宿房间内，自然岩石元素与现代简约布置相融合的独特装修风格，引发了同学们对地质旅游资源开发中提升游客居住体验的思考。随后，师生们参观了具有重要历史意义的386旅旅长陈赓指挥所，在这里深刻感受革命先辈的英勇无畏，增强了历史责任感。此外，配备多种休闲娱乐设施的高端民宿及相关建筑，也促使同学们积极探讨如何在地质旅游中融入多元化元素，满足游客不同需求。接着，师生前往梁江村深入探寻古村落魅力。通过观察古村落布局、建筑风格及文化传承，分析其与地质环境的内在联系，思考古村落保护与地质旅游资源开发的协同发展，推动乡村旅游可持续发展。整个研学过程中，师生积极互动，现场学习氛围浓厚。同学们通过讨论、记录与分析，提升了专业知识水平和理论应用能力，坚定了投身地质旅游事业的决心。此次活动以“实地考察、学用结合”为导向，为旅游地学与规划工程专业学生提供了宝贵的实践机会，有助于积累经验，提升专业素养，未来也将为地质旅游行业发展和地方经济繁荣贡献力量。
土地科学与空间规划学院召开2024年团学工作成果展示暨年终总结大会,"2024年，土地科学与空间规划学院团学组织围绕既定目标，积极开展了多维度、专业化、特色鲜明的活动，在思想引领、组织管理、社会实践、科技创新和文化活动等方面取得了丰硕成果。为全面回顾过去一年学生管理工作中的成效，提炼经验、展示特色，同时谋划促进学生全面发展的创新策略与发展方向，土地科学与空间规划学院于12月27日在春秋讲堂召开了团学工作成果展示暨年终总结大会。学院党委副书记孟佳、副院长朱骥及师生代表出席活动。过去一年，学院在思想引领方面，加强宣传平台建设，扩大思想引领覆盖面，学院公众号平台及时宣传党团建设活动，推送校园活动信息、传播学科动态，成为青年思想引领的有效工具；强化青年思想教育，围绕“习近平总书记五四重要寄语精神”、“庆祝中华人民共和国成立75周年”等9个主题开展团日活动，实现63个团支部活动全覆盖。在组织管理方面，围绕思想建设和业务能力，开展各级团学干部培训，有效提高团学干部政治素养、提升干部组织管理能力。在社会实践方面，聚焦学院专业特色和志愿服务积极开展各类实践活动，组织了“爱心助学”社会实践小队分别赴张家口市逐鹿县和怀来县调研耕地情况、“爱心汇聚如泉涌，橘灯照亮助残梦——小橘灯助残接力计划”等。特别是运用专业知识赴石家庄市井陉县开展社会实践活动的""乡土规梦实践团""，广受当地群众好评并荣获“三下乡社会实践全国重点团队”称号。在科技创新方面，获得国家级、省级各类奖项26项，彰显了同学们的科研精神和创新活力。在校园文化活动方面，组织涵盖组织生活、学风教育、职业发展、心理健康、体育赛事、知识竞赛、宿舍生活、志愿服务等多个领域的各类活动55项，活动形式新颖，广受同学们欢迎。学院还积极推动“一院一品”科普活动，开展校校、校社活动22场，吸引近百名志愿者，活动覆盖千余人，形成“测地山水思韵长，探天科普燕赵扬”品牌活动，开展“天·地”系列科普及“探秘中国古代建筑与英雄故事”等主题活动，在冀网育等平台广泛报道，充分展现我院师生风采。土地科学与空间规划学院将继续保持饱满的教育热情和坚定的教育信念，充分挖掘教育资源，提升师资力量，在学生思想教育与校园文化建设方面积极探索“五育”深度融合、协同共进的模式与方法，助力学生实现全面发展的目标。"
学校召开河北地质大学二届四次双代会筹备会议,12月30日下午，学校在主楼三楼会议室召开了河北地质大学二届四次教职工代表大会暨工会会员代表大会（以下简称双代会）筹备会议。会议由校党委副书记都沁军主持，党办校办、发展规划处、校工会、财务处、教代会提案委员会负责人出席了会议。本次会议公布了校党委常委会确定的双代会召开时间，布置了双代会校长工作报告、财务工作报告、工会工作报告、提案工作报告的分工任务、完成阶段和时限。都沁军强调，相关责任单位要严格按照分工、阶段和时限完成报告的起草、征集意见和修改定稿工作，用心投入工作，高质量完成双代会任务目标。
我校推选的视频作品《黑与白：廉洁的选择》成功入选教育部第九届高校廉洁教育系列活动名单,近日，教育部公布第九届高校廉洁教育系列活动结果，我校艺术学院制作的视频作品《黑与白：廉洁的选择》，成功入选第九届高校廉洁教育系列活动“视廉清心”视频征集遴选名单。《黑与白：廉洁的选择》采用了光影结合的制作手法，展现出一位工作人员在欲望的泥潭中越陷越深，没能坚守初心，逾越了法律红线，逐渐腐败堕落，最终身陷囹圄的故事。该作品紧扣时代主题、聚焦廉洁典型、具有深刻的廉洁教育价值和精神推动力。教育部以“廉洁铸魂强根本 挺膺奋进建新功”为主题，举办了第九届高校廉洁教育系列活动。希望今后各基层党组织踊跃参与，涌现出更多的优秀作品，促进廉洁知识的学习和宣传，引导广大师生进一步夯实清正廉洁思想根基、厚植廉洁奉公文化基础、培养廉洁自律道德操守、弘扬崇廉拒腐社会风尚。据悉优秀作品将在央视网、中国大学生在线、中国教育发布等平台进行展播。
我校艺术学院教师秦亮书籍装帧设计入选中国美术家协会第三届书籍装帧艺术展，系河北唯一入选作品,在中国美术家协会、海宁市人民政府联合主办的第三届书籍装帧艺术展览上，我校艺术学院教师秦亮的书籍装帧设计作为河北省唯一入选作品参展。《抱朴集》装帧设计呈现了书籍质朴气息，字体、版式、纸张、印刷、装订等细节上传递出特有质朴感，达到外在与内涵的统一。作者的手稿有用“八行书”信纸书写，于是采用“八行书”的行格与书籍开本在尺度关系上推敲出适宜现代阅读的版式。书的《自序》中，暗含了一条讲述作者个人回忆的时间线，便设计成了有着作者个人记忆的袖珍黑白相簿，使读者翻阅时的视觉流线可以和作者回忆的时间线重合，产生和作者、和那个时代的记忆共鸣。封面作者手书采用压凹工艺，寓意回忆如印迹隐约浮现。《抱朴集》《抱朴集》是我校教授侯万福个人回忆性散文集，全书共分三部分，一篇《自序》。 作者以散文形式，深情地表达了对祖国和故乡的一片赤子之心。在作者笔下，家乡也罢，祖国的山水也罢，都驰骋着鲜活的质朴心绪，都带有一种本真的深刻记忆。读这部书，可读到作者的往事心曲。文章中写实、写景状物，可感到浓郁的传统文化气息和祖国大好山河之壮美。该书曾在2021年“河北省第一届最美的书”评选中，荣膺河北省最美图书二等奖。
河北地质大学与河北新业律师事务所签署战略合作协议暨揭牌仪式,12月27日，为加强法政学院实践基地建设，河北地质大学法政学院与河北新业律师事务所共同举办战略合作签约暨揭牌仪式。河北地质大学法政学院党委书记董莉、法政学院院长孙日华、副书记朱晓玲、环境与资源保护法教研室主任葛丽明、实验中心主任韩建祥，新业律师事务所主任李金海、党支部副书记高国菲、副主任许辉、副主任马佳音以及河北地质大学优秀毕业生实习律师王浩榆共同参会。会议由新业律师事务所党支部副书记高国菲主持，李金海首先代表律所全体成员对法政学院一行的到来表示热烈欢迎，李金海表示律师事务所从事实践前沿工作，法政学院秉承创新实践教育理念，契合律所发展，也是共建双赢的良好机遇，借助共建契机，双方将进一步加强合作，新业律所将认真做好实践基地工作，尽心尽责发挥客座教授职责，吸纳更多法政学院优秀人才。孙日华表示新业律师事务所在业内成就斐然，对新业律师事务所提供的珍贵平台和宝贵实践机会表示感谢。孙日华进一步介绍法政学院专业情况、特色学科等，表示新业律所在房地产、矿产等领域的深耕，契合学校地质特色，双方理念同一、领域契合、充满活力，对未来合作信心十足。随后孙日华和李金海签署了院所战略合作协议。双方就党建合作和业务融合展开交流座谈，董莉向律所授予《法学教育与理论研究合作单位》，许辉代表律所接牌。朱晓玲为律所李金海、高国菲、许辉、马佳音颁发客座教授聘书。此次签约和授牌，是法政学院实践教学基地建设的重要一环。校企合作谋发展，产教融合育英才，法政学院将继续推动以实践为导向的法学教育，实现课堂理论向专业实践的转化，致力于培育更为优秀的法律人才。
图书馆在第七届河北省高校图书馆服务创新案例大赛中获得佳绩,12月20日，第七届河北省高校图书馆服务创新案例大赛决赛在保定市顺利举办。大赛由河北省高等学校图书情报工作委员会主办、河北大学图书馆承办，旨在展现全省高校图书馆的创新活力，提升全省高校图书馆的整体创新服务能力与水平。大赛本科组共收到45个案例，经过初审共有28个案例团队晋级决赛。经过现场激烈角逐，我校图书馆蔺丽英等几位老师申报的案例《PDCA循环管理视角下河北地质大学经典深阅读推广》荣获大赛二等奖。本届大赛案例覆盖了资源建设、阅读推广、学科服务、数值赋能图书馆应用等多个方面，充分展现了河北省高校图书馆馆员团队及个人的创新潜能，也为各馆提供了宝贵的学习交流机会。
我校科研诚信和科技伦理智库团队在省科协举办的系列活动中获奖,近日，我校科研诚信和科技伦理智库团队成员、经济学院教授雷娜与研究生于诗琪合作撰写的文章《人工智能伦理研究的网络结构特征与启示——基于CNKI期刊数据库的实证分析》荣获河北省科协组织开展的2024年河北省“科技伦理大家谈”征文大赛实证研究类一等奖。本次大赛经组织申报、内容审查、专家评审、社会公示等环节，共评选出“科技伦理大家谈”优秀作品48篇，其中，实证研究类征文设一等奖1项，二等奖2项，三等奖3项，优秀奖若干项。12月7日，智库团队成员、经济学院副教授屈秋实和刘斐在河北师范大学参加了河北省科协举办的2024年河北省科学道德和学风建设系列活动。屈秋实以《文献计量视角下河北省科研诚信制度建设研究》为题在科研诚信座谈会上进行了交流分享，刘斐以《科技伦理与农业新质生产力：风险、逻辑与路向》为题在科技伦理学术沙龙活动中进行了交流分享。在本次活动中，智库团队提交的两篇论文都入选为论文合刊获奖文章。今后，科研诚信和科技伦理智库团队将继续深化相关领域研究，积极探索科研诚信建设和科技伦理治理的有效路径，为推进科学道德和学风建设贡献更多智慧与力量。
河北地质大学与河北瀛冀律师事务所举行战略合作签约暨揭牌仪式,为加快促进法学理论与实践的深度融合，深入贯彻“产学研”合作模式，达到拓岗育才目标，12月25日，河北地质大学法政学院与河北瀛冀律师事务所共同举办战略合作签约暨揭牌仪式。河北地质大学法政学院党委书记董莉、法政学院院长孙日华、法政学院副书记朱晓玲、法政学院环境与资源保护法教研室主任葛丽明，瀛冀律师事务所主任梁英伟、执行主任陶峰英、婚姻事务部主任王维亚、专职律师龚浩、石硕、李宏伟、柳立龙、邢文晶等参加本次仪式。陶峰英代表全体律所成员对法政学院一行的到来表示热烈欢迎，介绍了律所发展情况、人员组成和专业能力等。他表示，与我院达成校企合作，标志着双方在法学教育和人才培养领域迈出新步伐，对法政学院长期关心支持律师行业工作开展表示感谢。随后，孙日华介绍了法政学院法学专业教学情况，双方就实践教学、人才培养、专业交流进行研讨。孙日华表示，此次达成战略合作，是推进双方优势互补、资源共享，进一步深度融合，达成共同培养人才目标的重要举措，有助于创新教学模式，提升学生实践能力。合作仪式中，孙日华和梁英伟签署了院所战略合作协议。董莉向律所授牌《法学教育与理论研究合作单位》《法学研究教育共建单位》，陶峰英代表律所接牌。朱晓玲为陶峰英、王维亚、龚浩颁发客座教授聘书。至此，签约仪式圆满结束。此次院所战略合作，表明法政学院的校企合作和产教融合进程迈上新的台阶，双方将努力促进法学教育与实务深度融合，提升法学教育质量和法律服务专业化水平。校企合作谋发展，产教融合育英才，我院将以此为契机，实现课堂理论向专业实践的转化，为法学行业的繁荣发展贡献力量。
大学生就业指导与服务中心赴河北诺聘科技进行访企拓岗促就业活动,为深化校企合作，强化党建引领，促进高校毕业生高质量充分就业，12月25日，大学生就业指导与服务中心赴河北国有人力资源企业诺亚集团诺聘网络科技有限公司（以下简称“诺聘网络科技”）开展访企拓岗促就业活动，就进一步扩大毕业生就业岗位推介、企业信息互联等方面进行深入合作，并签订党支部联学共建协议。大学生就业指导与服务中心一行抵达诺聘网络科技，受到公司高层的热情接待。在诺聘网络科技党支部书记、河北诺聘网络科技总经理耿明朝一行的陪同下，就业中心代表团参观了诺聘网络科技的工作环境，了解了公司的业务范畴、技术实力及企业文化。随后，双方于会议室举行校企合作座谈交流。大学生就业指导与服务中心主任李仁杰在致辞中指出，此次对接交流是双方深化合作的重要一步，旨在通过合作共赢、优势互补，为大学生提供更加精准、高效的就业指导服务，增强大学生就业服务的获得感，同时助力企业选拔和培养优秀人才。诺聘网络总经理耿明朝亦强调，双方将围绕校企合作加强交流互助，同时通过党建共建，共同助力大学生就业。
